,on_demand,seniority,order_size,found_rate,picking_speed,accepted_rate,rating,distance_km,total_minutes
141,1,1,40,0.8345,1.78,0.88,4.92,0.4199155862046754,86.5665989166667
146,1,1,30,0.8441,1.53,0.96,4.84,1.1707845854936658,78.0974388
147,0,1,30,0.8979,1.49,1.0,4.8,3.736349438916151,68.4201171
148,0,1,42,0.8141,1.71,0.923076923076923,5.0,1.7390175867372746,91.7030399833333
149,0,1,9,0.8141,1.71,0.923076923076923,5.0,0.4342969804776043,55.44460495
150,1,1,9,0.9031,1.1,0.92,4.76,2.341607207347111,49.9740621333333
151,0,1,56,0.8599,1.52,0.96,4.88,4.218175341479915,94.2372205166667
153,0,1,22,0.8495,1.27,0.92,4.96,3.6850831483536193,83.7834655166667
154,1,3,18,0.8626,2.64,0.866666666666667,4.82,3.6415081896149033,74.0205397833333
155,0,4,18,0.8176,3.24,0.869565217391304,4.64,3.593638701467419,122.046193583333
156,0,1,31,0.8748,1.06,1.0,4.8,1.1774213881441695,88.37959405
157,0,1,17,0.8748,1.06,1.0,4.8,0.3417649592657117,85.36004105
158,0,1,20,0.8748,1.06,1.0,4.8,1.225358947146942,92.1552010833333
159,1,1,9,0.8748,1.06,1.0,4.8,3.8379656667082376,52.1383217333333
160,1,4,18,0.8423,1.45,0.785714285714286,5.0,2.984429395822099,67.7935200833333
161,1,1,12,0.8557,1.31,1.0,5.0,1.2874133108285242,79.3509880666667
162,1,1,28,0.8557,1.31,1.0,5.0,0.8101882309396622,117.214549766667
163,0,1,17,0.8557,1.31,1.0,5.0,0.5298560886855088,80.2617942333333
164,0,1,25,0.8455,1.17,1.0,4.76,2.013104141254172,67.1074917333333
165,1,3,1,0.8447,1.37,0.88,4.76,2.9987456667884387,26.8041541833333
166,1,4,2,0.8343,2.93,0.8,4.68,0.3156800860928133,41.2659457166667
167,0,1,16,0.8621,1.33,1.0,4.92,3.7119885316735264,87.7438751666667
168,0,1,54,0.8789,1.33,1.0,4.92,3.093429582578498,106.917706733333
169,0,1,41,0.8789,1.33,1.0,4.92,1.9911069884705663,138.663695483333
170,1,1,28,0.8376,1.55,1.0,4.96,2.278289601553505,79.8926360833333
171,0,1,39,0.8376,1.55,1.0,4.96,2.921509911888832,86.8276905333333
172,1,2,7,0.8633177727784027,2.19,0.8,4.849341890790547,1.3979893574243931,57.3187272
173,1,1,27,0.8682,1.94,1.0,4.88,0.8562896267963177,90.9127624166667
174,1,1,15,0.8771,1.31,1.0,4.92,3.486542556308044,72.2432288833333
177,1,3,43,0.8615,2.13,0.96,4.84,0.8022249423540214,88.8972796333333
178,1,1,30,0.8752,1.2,0.88,4.68,3.346314099628484,56.7603692833333
179,0,3,18,0.874,2.92,0.941176470588235,4.64,4.205734581571456,98.8896297333333
181,0,4,25,0.8289,3.2,0.72,4.92,4.152509350415967,139.31900125
182,1,1,45,0.8694,1.03,0.92,4.64,0.181582659990819,82.9123601666667
183,1,1,18,0.8694,1.03,0.92,4.64,3.824994137161849,37.0405313833333
184,0,1,25,0.8885,0.91,0.96,4.84,1.3024564243396877,38.6211291
185,0,1,18,0.8788,1.56,1.0,4.8,3.597557661184386,77.2128055
186,0,3,43,0.7917,2.0,0.88,4.96,4.049540469812499,131.47404885
187,0,1,37,0.8517,1.88,0.88,4.76,3.639106772218753,134.922160716667
188,0,1,32,0.8681,1.33,0.96,5.0,0.7868073102966547,69.7065591166667
189,0,1,18,0.8778,1.65,0.92,4.96,3.645255558572378,50.8359232666667
190,0,4,21,0.8575,1.42,0.68,4.96,2.6319314016953905,56.5469375166667
191,0,4,29,0.8575,1.42,0.68,4.96,0.6721375798665709,92.4685425833333
192,1,1,20,0.8502,1.58,1.0,4.84,2.9348704856644297,70.6240116333333
193,0,1,22,0.8722,1.31,0.96,5.0,3.245479252018186,83.5675824166667
194,1,1,20,0.8336,1.17,1.0,4.92,2.81132215311143,68.4980296166667
195,1,1,31,0.8543,1.28,0.92,4.96,2.3319026163418664,103.71909565
196,0,1,7,0.8691,1.05,0.92,4.88,3.2332785298492257,71.6436161833333
197,0,1,44,0.8691,1.05,0.92,4.88,0.4512010968778568,76.56907025
198,0,1,16,0.8691,1.05,0.92,4.88,2.4680941598740245,83.2761714666667
199,0,1,12,0.8691,1.05,0.92,4.88,1.1543914517618663,69.6532705166667
200,0,1,16,0.8955,1.08,0.92,4.72,3.306995587647171,114.076574466667
201,0,1,23,0.8479,1.07,0.92,4.84,3.4033201129132173,62.45138315
203,1,1,18,0.8509,2.0,0.92,5.0,1.8018043513260376,77.5403994333333
204,0,1,10,0.8772,1.23,1.0,4.92,1.2387882842083604,72.6148127833333
205,0,1,31,0.8604,1.57,0.96,4.96,0.92319105571617,86.7037011
206,1,3,2,0.8261,2.38,0.96,4.72,3.537383840694784,46.6991738166667
207,0,3,11,0.8261,2.38,0.96,4.72,1.2305968212507858,57.5887882333333
208,1,1,34,0.8449,1.54,0.96,5.0,1.187794221956627,63.9090471833333
209,0,3,21,0.8725,2.8,0.88,4.88,3.19347090974453,118.674707833333
210,1,3,6,0.8725,2.8,0.88,4.88,3.901431171156791,45.4193227833333
211,0,4,21,0.8608,2.2,0.8,4.92,2.358381354685571,98.7151732833333
212,0,4,54,0.8608,2.2,0.8,4.92,1.1646734350309484,165.17149635
213,1,3,6,0.8506,0.95,1.0,4.88,3.9084621963667754,111.895317266667
214,0,3,28,0.8506,0.95,1.0,4.88,4.019770788472804,129.684225333333
215,0,4,30,0.8477,1.8,0.84,4.84,0.2213602428341327,60.9868924833333
216,0,1,28,0.8468,1.44,0.92,4.84,0.9580728357370988,55.7977869833333
217,0,1,17,0.8468,1.44,0.92,4.84,3.417047146332357,55.9966702166667
218,0,1,23,0.8636,1.37,0.96,4.84,2.779664129750988,54.8500204666667
219,0,1,37,0.8636,1.37,0.96,4.84,2.672873783893921,129.473782083333
220,0,1,11,0.8424,1.73,0.88,4.88,0.9548494766125984,123.559072983333
221,0,1,17,0.8424,1.73,0.88,4.88,0.3821363758727183,92.8544231833333
222,0,1,38,0.8266,2.0,1.0,4.84,3.5747884506863983,87.6734806666667
223,1,1,15,0.8873,1.51,0.96,5.0,1.4483563247539777,54.95562395
224,0,1,14,0.8873,1.51,0.96,5.0,3.596175822729465,57.0912210333333
225,0,1,9,0.8873,1.51,0.96,5.0,0.3052361539085156,45.0574681666667
226,0,1,14,0.8571,1.05,0.92,4.8,2.312161569446288,59.4400718833333
227,1,1,37,0.8611,1.37,0.92,4.84,4.219711071748312,116.514588916667
228,0,1,29,0.8669,2.0,0.88,4.92,3.968019945054917,103.935429183333
229,0,1,37,0.8669,2.0,0.88,4.92,1.3650769059220824,98.0940200166667
230,0,1,17,0.8669,2.0,0.88,4.92,4.125509895845933,89.3344128333333
231,0,1,24,0.8669,2.0,0.88,4.92,0.5031534367930015,69.9801454833333
232,0,1,20,0.878,1.23,0.96,4.88,3.2642550978582543,75.1079133666667
233,0,1,35,0.8537,1.19,0.92,4.92,4.291091628131958,99.3615400333333
235,1,1,33,0.9111,1.46,1.0,4.88,2.489806221019267,80.1131297
236,1,1,20,0.9111,1.46,1.0,4.88,0.7530549033283318,76.0188987833333
237,0,1,40,0.8641,1.18,0.96,4.8,1.7432942578812256,161.87394775
238,0,1,20,0.8676,1.43,0.96,5.0,3.2779625130967007,93.96369745
239,1,3,29,0.8092,2.25,1.0,4.96,4.009440695903747,63.0440350666667
241,1,1,14,0.8494,1.69,0.96,4.92,3.417047146332357,89.7296795166667
242,0,4,17,0.7994,2.71,0.68,4.84,1.7387539729489945,72.8999309666667
243,0,1,63,0.8392,1.34,1.0,4.92,0.8680065461529571,107.54469925
244,0,1,13,0.8392,1.34,1.0,4.92,1.728136075907621,40.2361719333333
245,0,1,18,0.8392,1.34,1.0,4.92,2.99929801588388,65.4234443
246,0,4,17,0.8281,2.6,0.818181818181818,5.0,3.937582944192362,77.3032746833333
247,0,4,16,0.813,1.43,0.76,4.64,0.943727268189406,45.96921735
248,0,4,17,0.813,1.43,0.76,4.64,2.1039434435430557,52.9006729666667
249,1,1,44,0.9026,1.25,1.0,4.96,1.0187645222883774,121.140653233333
250,0,3,29,0.8084,2.54,0.96,4.96,1.4940880569177897,101.54736735
251,1,3,22,0.8084,2.54,0.96,4.96,4.287267222137787,110.986483916667
252,0,1,1,0.8776,1.63,0.92,4.96,0.915974255564741,50.5581029833333
253,0,1,39,0.8776,1.63,0.92,4.96,1.1679926058173131,109.985917583333
254,0,1,36,0.8776,1.63,0.92,4.96,3.4033201129132173,90.3602340166667
257,1,4,22,0.8633177727784027,2.19,0.8,4.849341890790547,1.3676797120780966,64.76106935
258,0,1,27,0.8742,1.35,1.0,4.64,2.243241288466175,76.2828069166667
259,0,1,25,0.8738,1.56,0.92,4.96,3.827540052260827,72.64250685
260,1,1,23,0.8573,1.81,0.96,4.76,2.2538739550640665,69.68054255
261,1,1,7,0.8641,1.48,0.96,4.92,4.152509350412792,40.3820123833333
262,0,4,23,0.8338,2.48,0.68,4.76,3.3255816785537773,74.2470313333333
263,0,1,39,0.8423,1.24,0.96,4.92,0.8851735355689061,136.992065633333
264,0,4,35,0.8779,1.21,0.72,4.84,3.357054743493856,59.6783928833333
265,1,1,5,0.8643,1.12,0.96,4.92,2.300775585128699,68.0157180833333
266,0,1,14,0.8758,2.0,0.96,4.8,0.2213602428341327,76.9404156833333
267,1,4,7,0.8094,3.48,0.72,4.96,1.5839443232891,52.2050852166667
268,1,1,29,0.8521,1.5,1.0,5.0,2.664183157380592,66.49027175
269,0,1,68,0.8571,1.25,0.96,4.92,3.718013550857384,141.748624383333
270,1,1,29,0.8442,1.11,0.96,4.88,3.679696410663837,69.91928275
271,0,1,16,0.8442,1.11,0.96,4.88,2.5059128883967787,58.5896241
272,0,1,6,0.8714,1.45,0.92,4.84,3.423145291833706,45.39437195
273,0,1,29,0.874,1.55,0.88,4.88,3.3847352135189688,110.472424816667
274,1,3,11,0.8444,2.24,0.92,4.96,3.250765627530003,108.031985133333
275,0,4,54,0.9158,2.41,0.68,4.76,1.046096744655762,103.34656
277,1,1,10,0.9251,1.29,1.0,4.88,2.039023496156802,50.9858130833333
278,0,1,16,0.8494,1.3,1.0,4.68,1.0500751012990426,87.072036
279,1,1,29,0.8598,1.78,0.96,4.76,2.757991488689258,97.9938963166667
280,1,1,21,0.8598,1.78,0.96,4.76,1.7926742486805427,99.38352695
281,0,1,68,0.8598,1.78,0.96,4.76,1.1711269391138432,115.428432
282,0,1,63,0.8598,1.78,0.96,4.76,0.3821363758727183,125.906285983333
283,0,4,57,0.8496,2.09,0.84,4.96,2.8073777506571025,122.52713545
284,1,4,18,0.8633177727784027,2.19,1.0,4.849341890790547,0.5223865814655149,119.50051405
285,0,4,11,0.8389,2.83,0.72,4.96,1.0327284784024469,70.7059079166667
286,0,1,3,0.8519,1.56,1.0,4.72,1.5529240110280311,55.3232420166667
287,0,1,18,0.8519,1.56,1.0,4.72,3.691908381495167,139.927991516667
288,0,1,63,0.877,1.63,1.0,4.84,3.306995587647171,161.004070033333
289,0,1,17,0.8907,1.41,0.96,4.84,3.2491954648517543,102.294620966667
290,0,4,30,0.888,3.33,0.72,4.72,1.639922128106858,124.506882633333
291,0,1,48,0.8702,1.53,1.0,4.76,2.0587899032880297,135.967947633333
292,1,1,19,0.8702,1.53,1.0,4.76,1.2406755265029643,60.6866513333333
294,0,1,41,0.8645,1.73,1.0,4.6,0.7494109487563251,136.2822729
295,0,1,60,0.8675,1.16,0.96,4.8,3.431478391528943,103.713640033333
296,0,1,21,0.8869,0.94,0.92,4.8,4.288764704530375,84.7854215
297,0,1,19,0.8501,1.6,0.92,4.76,3.025287315326189,64.4082299833333
298,0,4,21,0.8446,1.67,0.84,5.0,2.492129318051176,92.0004991333333
299,0,1,60,0.9127,1.08,0.92,5.0,0.6694379438595157,102.694458166667
300,0,1,25,0.8852,1.6,0.88,4.96,4.223823022934472,115.614365583333
301,1,1,44,0.8571,1.74,0.96,4.72,0.2952081503229237,80.0086666666667
302,0,4,17,0.8539,2.33,0.80952380952381,4.9,1.5939081791782002,58.4619550666667
303,1,1,24,0.8442,1.77,0.92,4.64,2.21659852287777,102.646988516667
305,0,4,36,0.829,2.75,0.92,4.92,3.927845515241005,135.993194283333
306,1,3,21,0.8216,2.43,0.92,4.72,3.465453541888209,91.6393517
307,0,1,19,0.8723,1.56,0.96,4.88,3.417047146332357,76.6672071666667
308,1,4,27,0.8326,1.93,0.84,4.96,1.2524722205131753,73.2873322166667
309,0,1,8,0.8429,0.89,1.0,4.96,3.339461308598208,35.8731859333333
310,1,1,16,0.8862,1.48,1.0,4.92,4.328410141622013,123.483119066667
311,0,1,10,0.8862,1.48,1.0,4.92,2.3209365380801388,70.9599942
312,0,4,41,0.8655,2.43,0.84,4.88,3.2394070523572798,177.870531283333
313,0,1,39,0.8173,1.55,0.96,4.84,3.5697527180427686,98.22058435
314,0,3,23,0.86,2.1,1.0,4.92,1.1989892434001432,77.7713111
315,0,3,5,0.86,2.1,1.0,4.92,1.3102273380576437,33.5252050666667
316,0,3,32,0.86,2.1,1.0,4.92,2.2860555639575866,97.6057697833333
317,0,1,25,0.8778,1.34,0.933333333333333,4.6,0.9194337887101433,107.799565366667
318,0,1,20,0.8778,1.34,0.933333333333333,4.6,0.3676989240754097,82.5250973833333
319,0,3,46,0.8324,1.73,0.96,4.84,0.816024323796599,108.998688566667
320,0,1,23,0.8358,1.5,1.0,4.84,4.271120564247448,95.8855198833333
321,0,1,16,0.8774,1.0,0.96,4.88,3.580519073432549,40.69845185
322,0,1,25,0.8719,1.77,0.92,4.94,0.2487368203748307,90.08489515
323,1,1,23,0.8719,1.77,0.92,4.94,0.4458171531328896,83.4542151833333
324,0,1,12,0.8719,1.77,0.92,4.94,1.14049774567214,48.2150185833333
325,0,4,27,0.8162,3.35,1.0,4.64,2.6319314016953905,123.1071783
326,0,1,38,0.8955,1.18,1.0,4.84,3.902426892660654,121.84106185
327,0,3,26,0.8584,2.2,0.88,4.92,1.7032824142036722,175.814163166667
328,0,3,15,0.8584,2.2,0.88,4.92,1.892201362119738,144.519932983333
329,1,4,16,0.8633177727784027,2.19,1.0,5.0,1.1922236555707475,107.315435166667
330,1,3,9,0.8325,2.38,0.88,4.92,4.118355770456533,58.4143366666667
331,0,3,41,0.8325,2.38,0.88,4.92,2.493988880461405,147.199801833333
332,0,1,50,0.8589,1.21,1.0,5.0,0.3821363758727183,84.4291938166667
333,1,1,46,0.8589,1.21,1.0,5.0,2.575559059355617,101.497227733333
334,0,1,15,0.8589,1.21,1.0,5.0,0.941177739559523,94.06603385
335,1,1,44,0.9034,1.04,0.88,4.96,2.200704957391901,77.9098925166667
336,0,1,24,0.8409,1.36,1.0,4.68,2.6635379037766813,77.0968040666667
337,0,1,45,0.8379,1.22,0.92,4.76,1.6444559701060515,92.3470183333333
338,0,4,17,0.8555,1.8,0.84,4.72,3.5035438614940406,89.6192085333333
339,0,1,9,0.8535,1.53,0.96,4.88,1.094507978022082,40.8289670166667
341,0,1,28,0.8688,1.17,1.0,5.0,3.710018691282433,58.6271164166667
342,0,3,22,0.7842,2.5,0.88,4.95,0.7630300213458112,79.35334575
347,0,3,59,0.8262,1.48,0.96,4.88,0.5136046328845677,88.5225468166667
349,0,4,12,0.878,1.2,0.84,4.72,2.310638172682535,59.7978406833333
350,1,1,21,0.8764,1.22,1.0,4.8,1.0076164452924286,49.1512388666667
351,1,4,10,0.8271,3.22,0.888888888888889,5.0,0.5298560886855088,36.9974909333333
352,0,1,38,0.8655,1.15,1.0,4.96,3.702899961200445,70.5439107833333
353,0,1,28,0.8655,1.15,1.0,4.96,3.948998748171285,101.4738403
354,0,1,11,0.8655,1.15,1.0,4.96,4.190573054005292,108.38228275
355,0,1,62,0.8581,1.07,1.0,4.96,0.8214591646684698,89.79904805
356,0,4,44,0.8301,3.12,0.857142857142857,5.0,1.7585898524238464,143.040919316667
357,1,4,19,0.8301,3.12,0.857142857142857,5.0,3.035555768969928,93.3941364833333
358,1,1,26,0.8169,1.45,0.96,4.88,3.6580562125115312,59.21108095
359,0,1,35,0.8811,1.27,1.0,4.92,2.7483690273943204,101.52445855
360,1,1,51,0.8588,1.56,1.0,4.96,2.1535991072520506,125.597865866667
361,1,3,29,0.855,2.03,0.96,4.84,2.121975988048516,64.5052650833333
362,1,1,54,0.8632,1.27,0.92,4.96,1.5191794446072189,100.5078885
363,0,1,41,0.8632,1.27,0.92,4.96,2.342441339957634,95.623504
364,0,1,27,0.8226,1.28,1.0,4.92,0.8445827662247013,42.0534994
365,0,1,43,0.8873,1.2,1.0,4.88,3.71907352074794,107.5272392
366,1,1,11,0.8695,1.14,0.92,4.76,3.639106772218753,71.5565314333333
368,0,3,17,0.8357,1.79,0.92,4.64,3.6850831483536193,47.5635847333333
369,1,4,29,0.8141,2.26,0.8,5.0,1.512074921896844,87.6789632833333
370,0,4,5,0.8141,2.26,0.8,5.0,1.0133436053037903,65.01243335
371,0,4,32,0.8141,2.26,0.8,5.0,3.77102454552411,96.2930789166667
372,1,1,17,0.8926,1.62,0.96,4.84,0.5022442640232748,48.4044307333333
373,1,4,2,0.9333,1.8,0.8125,4.89,2.669602575810147,44.8770789333333
374,0,4,19,0.8775,1.55,0.8,4.8,1.8685554578965504,46.0386611166667
375,0,1,41,0.8836,1.18,0.92,4.96,1.1541208145880275,106.314493416667
376,0,3,50,0.8556,2.44,0.88,4.96,0.9650930595063816,134.60652595
377,1,1,17,0.8652,1.43,0.96,4.76,2.7264343527387536,45.0722747833333
