,order_id,store_branch_id,distance_km,shopper_id,on_demand,seniority,order_size,found_rate,picking_speed,accepted_rate,rating,total_minutes
34,cf72084d8a0f9aafdab6843be18c7bf9,65ded5353c5ee48d0b7d48c591b8f430,3.8163973759175795,026229d08139f0417381715cf4818bfb,True,I,19,0.8523,1.17,0.96,4.96,91.09665515
35,21f13f624ab268878af745f86d10af3e,65ded5353c5ee48d0b7d48c591b8f430,1.51565854644902,411ab4f7a6d16ab564566f4cf86cf48e,True,T,29,0.8416,3.07,0.769230769230769,5.0,72.8911097666667
36,c4531b795fc4c119ae5517fd62f86e8c,65ded5353c5ee48d0b7d48c591b8f430,2.539330885903438,6bcd77f7e04386ca53129137ad0c35e1,False,I,56,0.8903,1.29,0.96,4.92,139.862936883333
38,b66b690db9b6982eb79676688958fb0c,65ded5353c5ee48d0b7d48c591b8f430,2.3870828421605457,65809f73edd17816d7c31f7a82361cbe,True,I,31,0.9007,1.26,0.88,4.92,91.13844335
41,30cface28ff3ca16da7c295478dbc888,65ded5353c5ee48d0b7d48c591b8f430,2.539330885903438,547b0085118f4c967cc5b8df1e8c7b98,False,I,21,0.8852,1.21,1.0,4.76,60.1161253333333
42,0bd63fa3afe51ff77c8b2b7a5b8bfdff,65ded5353c5ee48d0b7d48c591b8f430,2.738717722360879,547b0085118f4c967cc5b8df1e8c7b98,False,I,29,0.8852,1.21,1.0,4.76,127.676339633333
43,3c562cdeed62e354675eb878a85647ff,65ded5353c5ee48d0b7d48c591b8f430,1.003606326461231,86f4abe9b5e6280e75849d9b3cadd656,False,M,61,0.8884,1.2,0.8,4.92,112.121515433333
47,5e6c20b4c9ea405ea14d77359b3b90de,65ded5353c5ee48d0b7d48c591b8f430,2.992749479315401,2e7b6bc4be272ffda5cab9b4cc59b3ea,True,I,26,0.874,1.72,0.96,4.96,77.3890979333333
48,8734be9e7432350ad28f519d353b8ba5,65ded5353c5ee48d0b7d48c591b8f430,1.0253862930858562,a67119f078d90e109864919d41c1919c,False,W,59,0.8633177727784027,2.19,0.6,4.849341890790547,170.620690633333
49,f175cde9ec505ac23422f4f77269b63f,65ded5353c5ee48d0b7d48c591b8f430,0.6980494068064433,22c886c96598c5020f66c044850ef19e,False,I,35,0.9053,0.73,0.88,4.92,92.03688055
50,026969bac05c316e8370bf0b20545ed0,65ded5353c5ee48d0b7d48c591b8f430,1.6350363639406178,8e245b6a5d1dfedc4f6769a478afb45b,False,I,12,0.8885,1.22,0.88,4.72,44.7526900833333
51,1242d10614752a0451a169821136c0d0,65ded5353c5ee48d0b7d48c591b8f430,3.6267750957235023,003b97e845922965d37f7474043f658b,False,T,7,0.8366,1.94,1.0,4.88,85.6641190833333
52,b66d624a7bf2eb850a169414d5d76cde,65ded5353c5ee48d0b7d48c591b8f430,3.99619511004582,003b97e845922965d37f7474043f658b,False,T,17,0.8366,1.94,1.0,4.88,93.2488904666667
53,fc48422caff7222e1a85859ceaf5f9b5,65ded5353c5ee48d0b7d48c591b8f430,3.8212660778532492,a634a04a78ccc3e130e689a1eb211a59,False,I,20,0.8652,1.53,0.92,4.8,64.6187889833333
55,65560624acd0644f9fa59987d235fa1e,65ded5353c5ee48d0b7d48c591b8f430,0.4321526940364654,4dce2d4c6e297ebfaa33f6aad7c8590f,True,M,20,0.8128,3.0,0.56,4.76,126.410587416667
56,b27ee013369ed4c2b3a40d864cd68fb3,65ded5353c5ee48d0b7d48c591b8f430,0.9191679959180614,4dce2d4c6e297ebfaa33f6aad7c8590f,False,M,70,0.8128,3.0,0.56,4.76,172.136055916667
57,4c154d40f91b76d6676e7a5c4a26fb93,65ded5353c5ee48d0b7d48c591b8f430,2.030121530541786,b957745e74efff8430104bfbc91879d4,True,I,27,0.8706,1.35,1.0,4.96,66.9055496666667
58,a4b12371896e923b5d0bcf03c54acd6b,65ded5353c5ee48d0b7d48c591b8f430,1.1921341472001716,5de2fa26f084d1a0fd5fc32ee204a4a7,False,M,4,0.8725,1.17,0.8,4.76,52.9233769666667
59,bcdac51a65fb43bf5ef0aa7dcbd4833d,65ded5353c5ee48d0b7d48c591b8f430,0.9145851188805595,5425594f277629010fdab64bb100e78c,False,I,33,0.8496,1.69,1.0,4.96,163.733717033333
60,5687ee2b8ddbc4e292c64f0539fc311b,65ded5353c5ee48d0b7d48c591b8f430,2.688539678444906,5425594f277629010fdab64bb100e78c,True,I,8,0.8496,1.69,1.0,4.96,45.38164895
61,41cb09a3a9a078e58d3fce36d338d481,65ded5353c5ee48d0b7d48c591b8f430,3.7240904550131924,5425594f277629010fdab64bb100e78c,True,I,15,0.8496,1.69,1.0,4.96,68.7333797833333
62,90fb2920e44d9b5ba6d805e08ddf79db,65ded5353c5ee48d0b7d48c591b8f430,2.98700680448326,aa06238de7cfc9ea73e9ea73e3cbf40f,False,M,38,0.8315,1.58,0.84,4.84,138.5141981
63,a2920c53ff3059a248b5aa0204dabd46,65ded5353c5ee48d0b7d48c591b8f430,0.3801903565452411,5b8c772bd7e08de3f95da37c7ebbe496,False,I,22,0.8322,1.26,0.92,4.96,104.492164816667
64,4a331342c470ae118d7d7cafc13fc031,65ded5353c5ee48d0b7d48c591b8f430,2.1708074469916747,961fe1b96546d3cf6ed463424998d60d,False,M,22,0.8459,1.0,0.84,4.6,71.3391056166667
65,788c5469a4fb55c037a01b598e47aecb,65ded5353c5ee48d0b7d48c591b8f430,2.6141412835359294,146b726bbae65d2b4f7b416e50bda30a,True,I,11,0.9066,1.22,1.0,4.84,44.7478288
66,8bb0a798155a1a986109b725468dd949,65ded5353c5ee48d0b7d48c591b8f430,0.5820185228798666,a2fbfd43eb6ea9471909ec081cefecca,False,I,18,0.8709,1.6,0.92,4.88,92.5396793
68,659b5016fdd007cb157b101ae48d0ca5,65ded5353c5ee48d0b7d48c591b8f430,2.5372137502047005,b187fab7e97d8d705201bb54b8df505c,False,I,56,0.8748,0.84,0.96,4.92,148.320121216667
69,e2299661142c7539a0ac1f0dbab72baa,65ded5353c5ee48d0b7d48c591b8f430,2.343306933519842,846c7176dd6f407591c2ed4d37df6076,False,I,37,0.8521,2.0,0.92,4.92,126.5161173
71,2dc910ceb9188e1c4e1d182feb60dd08,65ded5353c5ee48d0b7d48c591b8f430,3.0991209661793877,964c7f8ded6e655be59c04816f7d74b8,False,I,3,0.8509,1.55,0.88,4.96,113.275893416667
72,1ab7375f9376c91e89a4cc0db710856d,65ded5353c5ee48d0b7d48c591b8f430,2.753640066910643,964c7f8ded6e655be59c04816f7d74b8,False,I,17,0.8509,1.55,0.88,4.96,114.645336166667
73,ed13548450164d5aa81e9ccf62aab456,65ded5353c5ee48d0b7d48c591b8f430,1.7186585877101825,751b537dfbc05ec7851cffa0ac995951,False,M,9,0.8477,2.18,0.8,4.8,100.090630483333
74,5a82098beb4ae1b142093a7728233125,65ded5353c5ee48d0b7d48c591b8f430,1.7918254278211458,c196d298b23bf9b26cb59752759c798f,False,I,53,0.8421,1.49,0.92,4.96,150.689210266667
75,f1a62f549ccc22ac6c21523f9d4cb202,65ded5353c5ee48d0b7d48c591b8f430,1.6815441790783643,c25de8890bb5ca4a17eeb4193c4d6074,True,I,16,0.8486,1.2,0.92,4.64,97.27508805
76,61fd3fed059fe100751c5ed09e13165b,65ded5353c5ee48d0b7d48c591b8f430,1.3397337539644225,b1ff7c629ecae5d7865a95dc020ccde6,False,M,14,0.821,1.44,0.68,4.92,121.098419883333
77,acb7aa29603f0e2bb9528bf4cb12e5f8,65ded5353c5ee48d0b7d48c591b8f430,2.422001008949294,4697d15450272b6b01aa5ae7613b40f2,False,I,12,0.8494,1.73,1.0,4.56,84.8244139
78,0cb790ebbb6814de4fe4537951bd94c1,65ded5353c5ee48d0b7d48c591b8f430,0.7570456640167486,561cf6ce565ddf83a028325444a3db01,True,M,6,0.7949,4.17,0.56,4.83,72.0225243
79,d1e7eca1b86c2a43734ac91aab9d676a,65ded5353c5ee48d0b7d48c591b8f430,1.5351628765709986,6842c14e452088f85ac9a7c72b941421,False,T,45,0.8205,2.5,0.933333333333333,4.83,132.703818783333
80,78a53e2b30ca243779e621f8f3f3a989,65ded5353c5ee48d0b7d48c591b8f430,1.5109808851528612,cc5dfe943586208aa5e4296813f92e7a,True,W,12,0.8633177727784027,2.19,0.888888888888889,4.849341890790547,109.113885166667
81,6581174846221cb6c467348e87f57641,45fbc6d3e05ebd93369ce542e8f2322d,1.9385436932756,195f9e9d84a4ba9033c4b6a756334d8b,False,T,5,0.761,2.54,0.92,4.96,57.0606318333333
82,d99802d0efe446f314df1575c18acc66,45fbc6d3e05ebd93369ce542e8f2322d,1.2618925147276605,195f9e9d84a4ba9033c4b6a756334d8b,False,T,24,0.761,2.54,0.92,4.96,75.0674914666667
83,14720e7aababac4a269c955865e68576,45fbc6d3e05ebd93369ce542e8f2322d,3.6415081896149033,5c5199ce02f7b77caa9c2590a39ad27d,False,M,11,0.7838,2.4,0.96,4.96,78.32347345
84,a2c7b9f8cbe9d5be00849733db27684b,45fbc6d3e05ebd93369ce542e8f2322d,2.880720685194087,5c15f25cf0be9893ad4780fa050d8fa3,False,I,30,0.8713,1.31,0.88,4.96,69.4163653
85,de75a85ba889d81b6c9cd3e52c167f7b,45fbc6d3e05ebd93369ce542e8f2322d,3.646930247034206,3c4885d7dd4b68021456be3c24a034dc,False,I,47,0.819,1.27,1.0,4.72,119.068160566667
86,81367549aa84d0eec32d63a830caf7c0,45fbc6d3e05ebd93369ce542e8f2322d,0.4819197786529594,3c4885d7dd4b68021456be3c24a034dc,False,I,15,0.819,1.27,1.0,4.72,61.3229276666667
87,ec965b9fb477d7772bfa3f517bb81b35,45fbc6d3e05ebd93369ce542e8f2322d,4.287302959271925,278e1e3dbd7de0fc653bf4500700c6ef,True,I,23,0.8755,1.0,1.0,4.92,96.9844811666667
89,83ef20da832199aaf2ed8c8a8ad6e263,45fbc6d3e05ebd93369ce542e8f2322d,3.3504077395501692,dde31e647b83a2ab0c17040007596eaa,False,I,7,0.8856,1.27,0.92,4.8,60.9770266
90,e163a16a7ad936c31c1ad250da2802fc,45fbc6d3e05ebd93369ce542e8f2322d,4.287302959271925,5c08f3aa6539b89d2bb0223a6d2bfebc,True,I,26,0.8201,1.65,1.0,4.92,89.7374515166667
92,022682a99eb9cbd4e0d431a6aa40e9af,45fbc6d3e05ebd93369ce542e8f2322d,3.6919083814951668,99d85b886ad7616ad5e6e243975d94f4,False,I,17,0.8475,1.5,0.92,4.96,46.1981595166667
93,234a936e1129b0a479b28d2620808df7,45fbc6d3e05ebd93369ce542e8f2322d,3.1442750228260086,d41f4f39a176d09d77546404ba9670de,True,T,31,0.8593,2.59,0.92,4.76,126.663068916667
94,8538c76b16d50d100272d5ba40dbc575,45fbc6d3e05ebd93369ce542e8f2322d,3.3202194689033058,d41f4f39a176d09d77546404ba9670de,False,T,23,0.8593,2.59,0.92,4.76,91.6204545
95,ea14b6b7bf3c71edb2fe73afb4aac1df,45fbc6d3e05ebd93369ce542e8f2322d,3.6960186143037252,822a2adfed17b0bf9135e96b9cfd443f,True,I,16,0.8876,0.83,0.92,4.92,68.59701975
96,5178671b1e8dd019219d7e00cd49d11e,45fbc6d3e05ebd93369ce542e8f2322d,2.8883068016237803,822a2adfed17b0bf9135e96b9cfd443f,True,I,43,0.8876,0.83,0.92,4.92,81.70948
98,73c37bfb91bc84e3980898c85bc1364e,45fbc6d3e05ebd93369ce542e8f2322d,3.7002827723602967,5b06364eb2084247317dc55c5ec01f80,False,I,13,0.8487,1.88,0.96,4.68,82.5244026
99,384cb5fa9becee353655d5c2ac6f1c3f,45fbc6d3e05ebd93369ce542e8f2322d,1.1417284595629962,5b06364eb2084247317dc55c5ec01f80,False,I,16,0.8487,1.88,0.96,4.68,51.7222741833333
100,b97c52db26acf5657f8829d18e85ede7,45fbc6d3e05ebd93369ce542e8f2322d,2.6222705405662303,c0a31620223c35b5e567ebd6df3a8904,False,I,61,0.8692,1.44,1.0,4.84,131.6674538
101,9c15bc648d3264ceb0c3819137650a0e,45fbc6d3e05ebd93369ce542e8f2322d,3.0864677716379987,c0a31620223c35b5e567ebd6df3a8904,False,I,50,0.8692,1.44,1.0,4.84,115.57736055
102,29cc95f55915dbe19c23547504a9f6cd,45fbc6d3e05ebd93369ce542e8f2322d,3.274927219991963,4a7136775aaddcf343b33c08a8b91889,False,I,44,0.871,0.95,0.92,4.96,105.3749113
103,39713f92756b27244d31592f8dd1b859,45fbc6d3e05ebd93369ce542e8f2322d,3.2479447925085636,0048333b469a4c9b55dc656475343cc8,False,M,11,0.8949,2.4,0.72,5.0,62.955821
104,7e50a1d7830d04a35663d3fa194c84e0,45fbc6d3e05ebd93369ce542e8f2322d,3.0847221970761396,1894e03459c66a8fe51a33b240520b55,False,M,1,0.8185,2.8,0.88,4.88,47.9973233333333
105,3a07ea815e501d340ccf421f8c1c84fa,45fbc6d3e05ebd93369ce542e8f2322d,3.3502970565895884,5d4029906939f2b61977ad826a7b188f,False,I,16,0.9213,1.28,1.0,4.69,72.5102357333333
107,3ca64eda7bb30214d4cb06acc08f67a6,45fbc6d3e05ebd93369ce542e8f2322d,3.995135480072079,96904d8ce03a4635b46bf9b5ecac8f63,True,I,39,0.8853,1.53,1.0,4.72,104.963329066667
108,c77daadeb4b28a9b40e992a13107e88a,45fbc6d3e05ebd93369ce542e8f2322d,3.178855514890665,215fa0e9539301d038cc51819f00b6ce,False,I,35,0.8654,1.82,1.0,4.92,107.418802316667
110,dcc4d3e01b9734ceacabc901e5b556fd,45fbc6d3e05ebd93369ce542e8f2322d,3.1279389938816062,0c6c53345e71cfc22f5462e59ab17267,True,M,15,0.8218,1.64,1.0,4.72,51.1089059166667
111,0b88b6f0f9f010a6f7a60c23c20afb48,45fbc6d3e05ebd93369ce542e8f2322d,2.9773484692090344,d35f8bf4c84aa96150145d830d84043f,True,I,23,0.8727,1.18,0.96,4.56,88.2343164666667
112,eaa399cba2c932f5437efbaf55dba4a0,45fbc6d3e05ebd93369ce542e8f2322d,1.7340734800003743,067903709ee3178041959ed58b3419a4,False,I,10,0.8704,1.28,0.92,4.76,51.7389727333333
113,1573b5decacf067514b708eefddd4dad,45fbc6d3e05ebd93369ce542e8f2322d,1.5558336809943134,067903709ee3178041959ed58b3419a4,False,I,64,0.8704,1.28,0.92,4.76,95.61706185
114,71dc1694c237d21ce312db611a58ee36,45fbc6d3e05ebd93369ce542e8f2322d,2.083023023489488,067903709ee3178041959ed58b3419a4,False,I,49,0.8704,1.28,0.92,4.76,71.8559502666667
115,a23d8a831192e23e8bf7fccde953e671,45fbc6d3e05ebd93369ce542e8f2322d,3.700125967587208,067903709ee3178041959ed58b3419a4,False,I,40,0.8704,1.28,0.92,4.76,92.6419335833333
116,7d3b296d0b1ca69cca1f9ddda004c11e,45fbc6d3e05ebd93369ce542e8f2322d,3.5210830636019548,20e1a05c9a4cfe0f1f55cf7dd284ae7c,False,I,23,0.8818,1.74,1.0,4.68,69.9201776333333
118,ec9bbb0ccde7d41f2d8cdd97ff01642f,45fbc6d3e05ebd93369ce542e8f2322d,3.4411486959493747,6e1d38ffbed31170f8cf8960593ef510,False,T,31,0.8537,1.27,1.0,4.92,86.5012723333333
119,dbf8ea640046ba094bbddb903e985bde,45fbc6d3e05ebd93369ce542e8f2322d,1.8018043513260378,b62eb6713b83d8f9c3d5b89f3aba1a25,False,I,29,0.8758,1.0,0.92,4.92,101.136258566667
121,bc9fda3732eead973c6eff5d30b977f6,45fbc6d3e05ebd93369ce542e8f2322d,0.5303520064342461,777cd4f605b812dbc3b4b6cc48fc5e23,False,I,1,0.8804,1.5,1.0,4.72,65.9340779666667
123,7c5d47a2384621a75ec5081d33b299ed,45fbc6d3e05ebd93369ce542e8f2322d,1.046940101273896,777cd4f605b812dbc3b4b6cc48fc5e23,False,I,16,0.8804,1.5,1.0,4.72,78.1037420666667
125,084150cade4ed3badec540b5f5a8ceb9,45fbc6d3e05ebd93369ce542e8f2322d,3.5831926565832273,24afde0212dde17bd9c99c6bd18cf715,True,T,27,0.8186,2.03,1.0,4.88,120.586100366667
126,bf852a71b03be132840d5afe9531de49,45fbc6d3e05ebd93369ce542e8f2322d,2.2500957393726146,03f718afd33c7474a341ce8b24c5ab17,False,M,44,0.8468,1.7,0.92,4.92,97.2314131833333
127,92a3ace912136d8fe464be4b164c0e5a,45fbc6d3e05ebd93369ce542e8f2322d,3.523187569605995,fa58145134f1f61069472e65c7602dec,False,I,13,0.8657,1.36,0.96,5.0,73.1848943666667
128,c65d5e87398cd0a5947c4a8f49b6c085,45fbc6d3e05ebd93369ce542e8f2322d,4.153540832502229,61590835443d52ace20c272d96979107,True,M,18,0.8916,2.23,0.76,4.84,59.5912025
129,5534d1a3495e7451325f1a5b44581cf3,45fbc6d3e05ebd93369ce542e8f2322d,1.046940101273896,3818d83b78df6b1a8fe2ef01967089c0,False,T,26,0.8111,1.72,0.96,4.76,124.696798816667
130,330ee9c4ff7704488bfa06d30c1d3477,45fbc6d3e05ebd93369ce542e8f2322d,1.1266603207661496,3818d83b78df6b1a8fe2ef01967089c0,False,T,15,0.8111,1.72,0.96,4.76,130.523747266667
132,661e02a3c9975cf8a2eceaa3b9003f0c,45fbc6d3e05ebd93369ce542e8f2322d,2.672873783893921,50f58e39a2c8cead3f6859a19539772c,True,T,1,0.8892,2.58,0.92,4.96,101.602092583333
133,bdc6c08f55691021dc3d3f67fd7143d1,45fbc6d3e05ebd93369ce542e8f2322d,4.232891921613193,3f64d8a7bdfaf691a066de38fdc656f5,False,T,22,0.8617,2.88,1.0,4.8,90.7145601666667
134,96411ca12807a3bfb910246b970cd85e,45fbc6d3e05ebd93369ce542e8f2322d,0.11575992310547152,a869aa199aa81bfb124504b87c3d3577,False,I,27,0.9114,1.27,0.92,5.0,61.3997066833333
135,64a39b159a158c6c68eed732c566fd5e,45fbc6d3e05ebd93369ce542e8f2322d,3.2991506727445734,a869aa199aa81bfb124504b87c3d3577,False,I,22,0.9114,1.27,0.92,5.0,70.1373816
136,aa476ebc7911d9b68f51c5add9166a94,45fbc6d3e05ebd93369ce542e8f2322d,1.694237983507045,a869aa199aa81bfb124504b87c3d3577,True,I,9,0.9114,1.27,0.92,5.0,33.11672475
137,a7aaf5f8cc228cc6c9bdc994ef8dcda8,45fbc6d3e05ebd93369ce542e8f2322d,2.9210787747221683,8f9e69b8ac8d0a2d950e344968474687,False,M,15,0.7611,1.93,0.76,4.88,62.0339451333333
138,a84453be4b74494656b1df4eaa3bfeb2,45fbc6d3e05ebd93369ce542e8f2322d,2.7503234236377807,ca48282638e66d88524b05bac6dcb044,False,I,11,0.865,1.26,0.96,4.76,74.5476355833333
139,544199719e6fcf0f7728b12509c5005d,45fbc6d3e05ebd93369ce542e8f2322d,3.4470398532698967,bb0bea0c6a4a200aa435eaf56a7d8142,False,I,25,0.82,2.0,0.88,4.96,117.847332883333
142,4466af4a34d570b7e35362c92b4928bb,45fbc6d3e05ebd93369ce542e8f2322d,1.5974015213541624,87d7b0d9e76fafc73a00ff9c3dd7330d,True,M,31,0.7972,4.0,1.0,4.96,197.955427466667
144,70ef299e018df045aa9b2e6300a9dda7,45fbc6d3e05ebd93369ce542e8f2322d,3.662383937850835,06681284ff18d990d13a450bbaa5f787,False,I,21,0.8746,0.87,1.0,4.96,75.3232158166667
145,2d16f6020fb806c78f60e7a43cacb2b8,45fbc6d3e05ebd93369ce542e8f2322d,3.4349354269693504,1f90fc70106984de19b2e3546798cfa8,False,M,7,0.8222,2.47,0.8,4.96,78.26934345
146,126fcda0903a26f4e162842d80e4cfec,45fbc6d3e05ebd93369ce542e8f2322d,3.7363494389228618,1f90fc70106984de19b2e3546798cfa8,False,M,35,0.8222,2.47,0.8,4.96,143.579826983333
147,1fa15ced052e15a141ffbacc03430850,45fbc6d3e05ebd93369ce542e8f2322d,2.924912942470667,362e274d254be8fae76396b8f10a7fd5,False,M,10,0.8138,1.89,0.84,4.68,69.6981048166667
148,ee42630ad2b5be7786d2e9e275cae5cc,45fbc6d3e05ebd93369ce542e8f2322d,4.306826253807241,91c7f08608f3ee9c1c4757cab07e3568,False,I,27,0.9038,0.81,1.0,4.96,63.0944834666667
149,f0ec76ea7e0d7bafe8edb7788e7b4e0b,45fbc6d3e05ebd93369ce542e8f2322d,1.287845229458099,25e7136c0d5395997526bfce5a9628b9,False,I,29,0.8721,1.19,0.92,4.96,133.82853525
150,6b7868fc413b7fc1fe6184518e1736fb,45fbc6d3e05ebd93369ce542e8f2322d,1.0137165708141995,25e7136c0d5395997526bfce5a9628b9,False,I,12,0.8721,1.19,0.92,4.96,109.189112916667
151,1cdd184abc4494253a250190b8061957,45fbc6d3e05ebd93369ce542e8f2322d,1.4244504163109524,df06cb88d7b574bef65db4bdc660effa,False,T,8,0.7875,1.88,1.0,4.72,54.2101966333333
153,78209a144f6deb3eb978a8437008ee95,45fbc6d3e05ebd93369ce542e8f2322d,2.404814070618209,2edc3a56c1e863a383caf19ae246e56e,False,I,12,0.8647,1.35,0.88,4.84,55.1742081666667
154,8bbdd26ab4d819e47d47bcb30fc25846,45fbc6d3e05ebd93369ce542e8f2322d,1.3564808586210886,7e953cf9bda7956779fcf7f630b0cdb1,False,I,19,0.8421,2.0,1.0,4.96,68.8434520666667
155,8dc17c8df7687a0ceb20b491dfcc11ae,45fbc6d3e05ebd93369ce542e8f2322d,1.0412660464026684,229ac4da1e3b9bfa78d8e4df1ab488de,False,T,24,0.7708,2.42,0.785714285714286,5.0,105.911746366667
156,be2b0e84890aefa23b067acaba9bda8d,45fbc6d3e05ebd93369ce542e8f2322d,3.4579781509870835,0767af70bf9cff8914014d38c1e14296,False,I,34,0.8634,1.24,1.0,4.8,92.5094056333333
